_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,is_it_compositional,1_2,blood_sugar,is_it_compositional_gold,the_amount_of_glucose_in_a_persons_blood
1883263006,8/29/2018 15:08:53,false,4013847855,,8/29/2018 15:05:44,false,neodev,0.8,43858308,VEN,18,Barrio Ajuro,190.207.173.74,1,2_2,blood sugar,, Glucose in the blood.
1883263006,8/29/2018 15:38:22,false,4013919525,,8/29/2018 15:37:45,false,clixsense,0.8095,44474411,UKR,24,Lutsk,37.55.45.133,1,2_2,blood sugar,, Glucose in the blood.
1883263006,8/29/2018 16:11:31,false,4014000756,,8/29/2018 16:09:55,false,neodev,0.7143,40993983,UKR,14,Lugansk,188.190.222.149,0,2_2,blood sugar,, Glucose in the blood.
1883263007,8/29/2018 14:52:26,false,4013807086,,8/29/2018 14:51:12,false,elite,0.7619,43697701,IDN,26,Medan,116.206.38.53,0,1_2,bottom line,, The final balance; the amount of money or profit left after everything has been tallied.
1883263007,8/29/2018 14:56:43,false,4013818781,,8/29/2018 14:51:33,false,neodev,0.8,43858308,VEN,18,Barrio Ajuro,190.207.173.74,0,1_2,bottom line,, The final balance; the amount of money or profit left after everything has been tallied.
1883263007,8/29/2018 15:04:38,false,4013838126,,8/29/2018 15:04:18,false,getpaid,0.7143,44181201,VNM,44,Hanoi,14.243.34.193,0,1_2,bottom line,, The final balance; the amount of money or profit left after everything has been tallied.
1883263008,8/29/2018 14:48:12,false,4013796673,,8/29/2018 14:46:47,false,getpaid,0.7143,44181201,VNM,44,Hanoi,14.243.34.193,0,2_2,bottom line,, The summary or result; the most important information''The '''bottom line''' is that there simply are not enough hours in the day to finish all there is to do.'' {{syn|en|upshot|net-net}} 
1883263008,8/29/2018 16:00:49,false,4013977763,,8/29/2018 15:58:26,false,neodev,0.8,43858308,VEN,18,Barrio Ajuro,190.207.173.74,0,2_2,bottom line,, The summary or result; the most important information''The '''bottom line''' is that there simply are not enough hours in the day to finish all there is to do.'' {{syn|en|upshot|net-net}} 
1883263008,8/29/2018 16:03:04,false,4013982808,,8/29/2018 15:48:53,false,clixsense,0.8095,44474411,UKR,24,Lutsk,37.55.45.133,1,2_2,bottom line,, The summary or result; the most important information''The '''bottom line''' is that there simply are not enough hours in the day to finish all there is to do.'' {{syn|en|upshot|net-net}} 
1883263009,8/29/2018 15:05:41,false,4013840476,,8/29/2018 15:05:02,false,elite,0.7619,43697701,IDN,26,Medan,116.206.38.53,0,1_2,cash flow,, A statement of such transactions.
